GEOID,variable,estimate,moe,label,concept,variable_group,variable_index,denom,prop,percent,county_name
19017,B06004I_004,0,18,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,392,0,0,Bremer
19017,B06004I_005,51,38,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,392,0.13010204081632654,13.010204081632654,Bremer
19019,B03003_001,21118,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,21118,1,100,Buchanan
19019,B03003_002,20785,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,21118,0.9842314613126243,98.42314613126243,Buchanan
19019,B03003_003,333,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,21118,0.0157685386873757,1.57685386873757,Buchanan
19019,B06004I_001,333,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,333,1,100,Buchanan
19019,B06004I_002,208,56,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,333,0.6246246246246246,62.46246246246246,Buchanan
19019,B06004I_003,54,38,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,333,0.16216216216216217,16.216216216216218,Buchanan
19019,B06004I_004,5,10,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,333,0.015015015015015015,1.5015015015015014,Buchanan
19019,B06004I_005,66,48,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,333,0.1981981981981982,19.81981981981982,Buchanan
19021,B03003_001,20058,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,20058,1,100,Buena Vista
19021,B03003_002,14946,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,20058,0.7451390966198026,74.51390966198026,Buena Vista
19021,B03003_003,5112,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,20058,0.2548609033801974,25.48609033801974,Buena Vista
19021,B06004I_001,5112,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,5112,1,100,Buena Vista
19021,B06004I_002,1482,184,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,5112,0.289906103286385,28.9906103286385,Buena Vista
19021,B06004I_003,1177,243,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,5112,0.23024256651017214,23.024256651017215,Buena Vista
19021,B06004I_004,43,43,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,5112,0.008411580594679186,0.8411580594679187,Buena Vista
19021,B06004I_005,2410,186,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,5112,0.47143974960876367,47.14397496087636,Buena Vista
19023,B03003_001,14628,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,14628,1,100,Butler
19023,B03003_002,14426,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,14628,0.9861908668307355,98.61908668307355,Butler
19023,B03003_003,202,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,14628,0.013809133169264425,1.3809133169264425,Butler
19023,B06004I_001,202,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,202,1,100,Butler
19023,B06004I_002,128,24,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,202,0.6336633663366337,63.366336633663366,Butler
19023,B06004I_003,41,26,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,202,0.20297029702970298,20.2970297029703,Butler
19023,B06004I_004,5,8,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,202,0.024752475247524754,2.4752475247524752,Butler
19023,B06004I_005,28,26,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,202,0.13861386138613863,13.861386138613863,Butler
19025,B03003_001,9744,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,9744,1,100,Calhoun
19025,B03003_002,9554,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,9744,0.9805008210180624,98.05008210180624,Calhoun
19025,B03003_003,190,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,9744,0.019499178981937603,1.9499178981937604,Calhoun
19025,B06004I_001,190,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,190,1,100,Calhoun
19025,B06004I_002,87,27,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,190,0.45789473684210524,45.78947368421053,Calhoun
19025,B06004I_003,65,24,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,190,0.34210526315789475,34.21052631578947,Calhoun
19025,B06004I_004,7,10,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,190,0.03684210526315789,3.684210526315789,Calhoun
19025,B06004I_005,31,23,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,190,0.1631578947368421,16.315789473684212,Calhoun
19027,B03003_001,20281,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,20281,1,100,Carroll
19027,B03003_002,19775,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,20281,0.9750505399142054,97.50505399142054,Carroll
19027,B03003_003,506,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,20281,0.024949460085794586,2.4949460085794586,Carroll
19027,B06004I_001,506,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,506,1,100,Carroll
19027,B06004I_002,220,82,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,506,0.43478260869565216,43.47826086956522,Carroll
19027,B06004I_003,77,65,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,506,0.15217391304347827,15.217391304347828,Carroll
19027,B06004I_004,0,18,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,506,0,0,Carroll
19027,B06004I_005,209,83,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,506,0.41304347826086957,41.30434782608695,Carroll
19029,B03003_001,13091,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,13091,1,100,Cass
19029,B03003_002,12737,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,13091,0.9729585211213811,97.29585211213812,Cass
19029,B03003_003,354,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,13091,0.027041478878618897,2.7041478878618896,Cass
19029,B06004I_001,354,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,354,1,100,Cass
19029,B06004I_002,143,67,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,354,0.403954802259887,40.3954802259887,Cass
19029,B06004I_003,96,58,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,354,0.2711864406779661,27.11864406779661,Cass
19029,B06004I_004,0,16,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,354,0,0,Cass
19029,B06004I_005,115,99,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,354,0.3248587570621469,32.48587570621469,Cass
19031,B03003_001,18457,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,18457,1,100,Cedar
19031,B03003_002,18080,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,18457,0.9795741453107222,97.95741453107222,Cedar
19031,B03003_003,377,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,18457,0.02042585468927778,2.0425854689277783,Cedar
19031,B06004I_001,377,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,377,1,100,Cedar
19031,B06004I_002,179,39,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,377,0.47480106100795755,47.48010610079575,Cedar
19031,B06004I_003,78,37,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,377,0.20689655172413793,20.689655172413794,Cedar
19031,B06004I_004,0,16,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,377,0,0,Cedar
19031,B06004I_005,120,52,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,377,0.3183023872679045,31.830238726790448,Cedar
19033,B03003_001,42834,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,42834,1,100,Cerro Gordo
19033,B03003_002,40748,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,42834,0.9513003688658542,95.13003688658543,Cerro Gordo
19033,B03003_003,2086,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,42834,0.04869963113414577,4.8699631134145775,Cerro Gordo
19033,B06004I_001,2086,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,2086,1,100,Cerro Gordo
19033,B06004I_002,1039,197,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,2086,0.4980824544582934,49.80824544582934,Cerro Gordo
19033,B06004I_003,550,143,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,2086,0.2636625119846596,26.36625119846596,Cerro Gordo
19033,B06004I_004,162,131,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,2086,0.07766059443911794,7.766059443911794,Cerro Gordo
19033,B06004I_005,335,176,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,2086,0.16059443911792906,16.059443911792908,Cerro Gordo
19035,B03003_001,11343,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,11343,1,100,Cherokee
19035,B03003_002,11161,98,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,11343,0.9839548620294455,98.39548620294455,Cherokee
19035,B03003_003,182,98,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,11343,0.016045137970554527,1.6045137970554526,Cherokee
19035,B06004I_001,182,98,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,182,1,100,Cherokee
19035,B06004I_002,32,36,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,182,0.17582417582417584,17.582417582417584,Cherokee
19035,B06004I_003,70,56,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,182,0.38461538461538464,38.46153846153847,Cherokee
19035,B06004I_004,0,16,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,182,0,0,Cherokee
19035,B06004I_005,80,66,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,182,0.43956043956043955,43.956043956043956,Cherokee
19037,B03003_001,12026,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,12026,1,100,Chickasaw
19037,B03003_002,11722,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,12026,0.9747214368867454,97.47214368867454,Chickasaw
19037,B03003_003,304,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,12026,0.025278563113254614,2.5278563113254613,Chickasaw
19037,B06004I_001,304,NA,Estimate!!Total:,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,001,304,1,100,Chickasaw
19037,B06004I_002,81,50,Estimate!!Total:!!Born in state of residence,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,002,304,0.26644736842105265,26.644736842105267,Chickasaw
19037,B06004I_003,34,31,Estimate!!Total:!!Born in other state in the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,003,304,0.1118421052631579,11.18421052631579,Chickasaw
19037,B06004I_004,5,10,Estimate!!Total:!!Native; born outside the United States,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,004,304,0.01644736842105263,1.644736842105263,Chickasaw
19037,B06004I_005,184,69,Estimate!!Total:!!Foreign born,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,B06004I,005,304,0.6052631578947368,60.526315789473685,Chickasaw
19039,B03003_001,9360,NA,Estimate!!Total:,HISPANIC OR LATINO ORIGIN,B03003,001,9360,1,100,Clarke
19039,B03003_002,8023,NA,Estimate!!Total:!!Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,002,9360,0.8571581196581196,85.71581196581197,Clarke
19039,B03003_003,1337,NA,Estimate!!Total:!!Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003,003,9360,0.14284188034188033,14.284188034188034,Clarke
